Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCE19,OUT017,846.2547855
NCM53,OUT010,259.3111352
NCN18,OUT049,1675.703659
FDF32,OUT035,3171.771833
FDF11,OUT013,3987.904374
DRI59,OUT049,3787.3659
NCG54,OUT035,2787.255957
FDM44,OUT046,1583.647071
FDT57,OUT018,3648.941251
FDV24,OUT046,2429.305393
FDI50,OUT019,535.9411418
FDS09,OUT035,715.953099
NCC31,OUT027,3982.746586
FDQ07,OUT019,578.9139072
FDC22,OUT017,3104.069833
FDZ56,OUT046,2786.51363
FDZ40,OUT019,177.964548
FDS46,OUT027,3064.439134
DRD24,OUT045,2094.491655
FDV45,OUT017,3097.0837
FDL26,OUT045,2481.929194
FDA56,OUT018,2077.218567
FDN27,OUT046,1936.174761
FDM20,OUT049,3966.332953
FDO16,OUT017,1347.615601
FDL03,OUT035,3108.342022
FDE58,OUT046,1929.632671
FDI02,OUT027,3044.241955
NCC55,OUT019,81.86320978
FDR03,OUT018,3283.196625
FDB14,OUT017,1485.451668
FDR45,OUT013,3978.738412
NCN07,OUT017,2088.919223
FDM51,OUT019,250.1311846
FDT52,OUT027,6253.512134
FDL26,OUT046,2463.609814
NCZ42,OUT046,3975.873482
DRI47,OUT019,378.4327288
FDW40,OUT013,2096.820765
FDN34,OUT046,2786.732037
FDS01,OUT035,2892.422538
NCG55,OUT045,1927.619432
FDC11,OUT035,1436.470632
FDX35,OUT018,3516.278933
NCB06,OUT046,2596.150005
FDR09,OUT019,581.2171189
FDC53,OUT017,1545.261489
FDY45,OUT013,4035.024282
FDA22,OUT010,394.3209096
FDE02,OUT035,1527.272985
FDW21,OUT045,1579.02548
FDV34,OUT046,1059.549314
FDS59,OUT049,1614.169303
NCW17,OUT017,2084.211329
NCK54,OUT046,1929.632671
FDG17,OUT019,525.0509279
FDG35,OUT017,2844.83353
FDD08,OUT010,79.88416844
NCO07,OUT017,3499.764141
FDJ10,OUT010,293.0527745
FDW36,OUT017,1592.682035
FDW21,OUT010,198.6283753
FDY19,OUT017,1931.80079
DRE03,OUT013,702.2112747
NCC55,OUT049,693.1893188
FDH52,OUT010,164.6144949
FDO09,OUT017,4086.344978
FDU43,OUT045,3956.240166
FDX09,OUT010,417.8089582
FDH40,OUT019,219.818607
FDW58,OUT017,1594.098563
FDC47,OUT017,3810.808207
NCR41,OUT035,1523.413562
DRG49,OUT035,3969.802966
FDC52,OUT027,3954.952897
FDY13,OUT046,1068.707348
FDY35,OUT013,693.7375204
FDI35,OUT017,3082.584254
NCU18,OUT049,2097.692734
FDY33,OUT018,2579.498889
FDC15,OUT027,3957.059204
FDU01,OUT049,3096.907525
NCU42,OUT046,2787.128855
NCV29,OUT018,2875.018173
NCY30,OUT017,3095.030056
FDQ46,OUT049,1699.482498
FDG58,OUT027,3999.500847
FDK33,OUT017,3499.632955
NCD07,OUT045,1925.551713
NCX29,OUT027,3839.30749
NCT42,OUT013,2416.132052
DRN59,OUT035,702.2112747
FDI44,OUT035,1252.81279
FDA45,OUT049,2864.493753
FDP31,OUT045,1019.914817
FDY01,OUT046,1924.471686
FDT09,OUT018,2091.641111
DRH03,OUT027,2581.262165
FDA36,OUT018,3088.953495
NCF31,OUT017,2460.487031
FDG14,OUT049,2429.305393
FDG28,OUT027,6254.057414
FDU14,OUT049,4007.42157
FDY47,OUT019,295.0218268
FDI56,OUT049,1461.704692
DRD01,OUT013,846.6439485
FDM22,OUT046,846.2547855
FDH33,OUT013,693.4709577
DRZ24,OUT013,1949.201793
NCQ38,OUT046,1594.586682
FDO16,OUT027,2330.836241
FDU07,OUT027,3832.089311
NCB07,OUT013,3106.65378
FDU48,OUT045,2091.641111
NCM43,OUT045,2651.681233
FDR31,OUT010,336.2323918
DRK49,OUT018,693.4709577
NCI30,OUT010,582.9224071
DRD60,OUT017,2980.572372
NCG19,OUT046,3898.958715
FDH12,OUT035,1594.586682
FDM32,OUT035,1479.994613
FDM27,OUT035,2487.624697
NCU53,OUT027,4192.641897
NCQ18,OUT046,1572.174087
FDS10,OUT013,2923.936095
FDB33,OUT027,4100.504977
FDI12,OUT013,1423.599148
NCW42,OUT013,3649.133367
NCC06,OUT018,2084.211329
FDW02,OUT017,2082.331658
NCD43,OUT017,1594.098563
FDM57,OUT018,1347.615601
FDA58,OUT017,3904.973457
FDK56,OUT046,3096.167712
FDP52,OUT045,3854.051683
FDW20,OUT018,2078.344344
FDS52,OUT049,1575.781511
NCT29,OUT018,2050.771726
NCL54,OUT013,2878.231188
FDC05,OUT045,3127.989311
FDF34,OUT035,3118.424406
FDP03,OUT027,3257.626387
FDD32,OUT010,207.0137977
FDZ10,OUT045,2084.211329
FDZ40,OUT035,846.2547855
FDD51,OUT018,693.7375204
NCY30,OUT019,432.7600873
FDP58,OUT017,3499.660828
FDV49,OUT017,4104.501738
FDY24,OUT019,160.4174501
NCO55,OUT017,1606.45521
FDR13,OUT017,1929.632671
FDS51,OUT017,933.5422645
FDP26,OUT045,1594.586682
NCB54,OUT027,3353.162604
FDF32,OUT017,3118.176946
FDN31,OUT018,3090.417533
DRM48,OUT017,693.1893188
FDN20,OUT049,2787.868668
DRL01,OUT046,3853.486484
FDV56,OUT049,1606.45521
DRH13,OUT027,2668.643859
FDA03,OUT017,2414.549481
FDF47,OUT027,6077.320847
FDX32,OUT046,2414.173589
FDX57,OUT049,1542.526933
NCA30,OUT045,3097.53113
FDO49,OUT013,702.984486
FDL04,OUT019,248.0012959
DRM48,OUT035,693.1893188
FDR16,OUT013,3492.395878
NCC19,OUT018,3100.386045
NCE42,OUT045,3927.182615
FDY24,OUT017,846.2547855
FDH19,OUT049,2860.965806
FDJ46,OUT013,2859.94827
FDN45,OUT010,564.5699468
FDY08,OUT035,2092.180012
FDZ37,OUT035,1430.33112
NCT30,OUT045,702.2112747
DRY23,OUT018,693.4709577
NCZ30,OUT018,2077.218567
FDC44,OUT018,1881.139317
FDB45,OUT035,1594.098563
FDY04,OUT013,2639.835914
FDM27,OUT046,2583.573394
FDZ43,OUT017,3950.177471
FDT39,OUT019,395.6093419
NCC06,OUT019,300.1001432
FDL15,OUT027,3979.449031
FDL57,OUT017,4010.034385
FDU08,OUT046,1563.527074
FDK40,OUT017,4097.615787
FDQ12,OUT010,573.5911186
FDS48,OUT017,2429.989295
FDP09,OUT045,3495.26098
FDW21,OUT049,1572.174087
FDY25,OUT035,2976.362695
DRE13,OUT017,1422.071557
FDV43,OUT019,86.94482477
FDD22,OUT045,1697.953512
FDM46,OUT019,263.1634201
NCO30,OUT010,489.9558317
FDM25,OUT046,2859.917984
NCN41,OUT049,2077.218567
FDU24,OUT045,1494.917141
FDZ50,OUT046,3096.167712
FDP45,OUT013,4014.593866
NCM54,OUT045,2082.331658
FDW10,OUT019,429.87099
FDP20,OUT017,2084.211329
FDK32,OUT046,2429.305393
FDN52,OUT049,1439.296391
FDM58,OUT045,1676.226652
FDZ46,OUT027,2975.569632
NCA18,OUT018,1929.632671
FDD35,OUT046,2077.218567
NCK31,OUT035,703.2458824
FDI40,OUT027,2655.525971
FDT50,OUT019,237.8575146
NCT06,OUT046,2649.83726
FDT31,OUT035,3095.418917
FDT45,OUT049,793.9587803
FDT13,OUT045,3096.211001
FDO50,OUT045,1462.609847
NCU18,OUT010,301.1750677
NCR54,OUT049,3109.157746
NCO18,OUT018,2875.018173
FDU09,OUT045,846.6439485
FDT13,OUT018,3088.953495
FDE09,OUT046,1699.482498
NCK53,OUT019,252.6407635
FDG45,OUT049,3492.610504
DRH15,OUT035,696.1163828
FDO21,OUT019,577.0329167
FDD14,OUT027,5206.755011
FDC09,OUT046,1592.220509
FDH45,OUT027,1095.306662
FDV32,OUT046,1019.914817
FDG12,OUT035,2011.475316
FDS32,OUT013,2092.180012
NCL55,OUT018,3709.232019
DRE01,OUT035,3962.575098
DRE15,OUT049,1251.277608
NCL42,OUT045,3961.075242
FDP31,OUT013,1018.402391
FDN33,OUT018,1494.917141
FDZ59,OUT046,2650.144475
FDE45,OUT010,416.8951085
FDJ07,OUT013,1949.201793
FDQ45,OUT018,3088.953495
FDM33,OUT027,5667.519926
FDO15,OUT010,172.4586108
FDM46,OUT013,1482.368282
FDR03,OUT045,3379.522172
FDY49,OUT018,2740.832392
FDQ60,OUT045,1976.968452
FDW10,OUT049,2847.081068
FDO51,OUT049,695.3401045
FDJ40,OUT018,1612.059547
FDS20,OUT018,3088.427472
FDU45,OUT013,1738.5459
FDV02,OUT035,2786.640732
FDN09,OUT046,3960.244483
NCM55,OUT027,5232.75414
FDN23,OUT018,2412.331359
FDY31,OUT010,348.3025009
FDW03,OUT010,235.6516589
FDD14,OUT046,3094.119639
FDV23,OUT017,2081.879327
DRI03,OUT045,2861.459377
FDN13,OUT035,1572.174087
FDF45,OUT027,1700.285555
FDU46,OUT035,1436.470632
FDB57,OUT049,3744.354509
FDV12,OUT049,1573.446871
FDQ58,OUT013,2429.613403
NCA18,OUT017,1926.091941
FDH52,OUT049,918.9706767
FDM24,OUT018,2417.878638
NCP43,OUT027,5026.794783
NCO18,OUT019,420.2282598
FDM32,OUT017,1464.245564
NCL07,OUT017,693.1893188
FDK03,OUT013,4012.971923
FDP59,OUT017,1590.582652
FDQ24,OUT049,4005.376745
FDQ16,OUT018,1614.705214
FDU44,OUT013,2596.90203
FDH28,OUT010,93.6256364
FDV28,OUT019,92.05544489
FDM22,OUT045,846.2547855
FDR56,OUT046,3109.090817
FDV39,OUT049,3119.463185
FDU37,OUT019,208.4322576
FDQ11,OUT010,649.1621686
FDX02,OUT045,3747.630843
NCS42,OUT018,1485.451668
FDY57,OUT027,2583.162738
FDB21,OUT049,3960.040118
FDE28,OUT017,3839.228557
FDQ55,OUT017,1880.679752
FDA48,OUT049,3728.973294
FDZ19,OUT045,2860.337165
NCC43,OUT045,3995.633702
NCV18,OUT046,1345.762395
NCA42,OUT018,2581.541124
FDY45,OUT046,4020.986138
NCC30,OUT045,2925.311415
FDM57,OUT013,1422.071557
FDL09,OUT010,372.3028914
FDB09,OUT027,3278.613164
FDT44,OUT035,1977.583158
NCT06,OUT027,4178.396828
FDX26,OUT049,3097.497133
FDK32,OUT013,2458.648692
DRA12,OUT046,2100.496537
FDO46,OUT010,493.3198103
FDE52,OUT013,1430.33112
NCH42,OUT045,3854.604636
FDV08,OUT035,693.4709577
FDB47,OUT018,3346.905339
FDC28,OUT010,252.6877936
FDD22,OUT046,1884.634156
FDS07,OUT027,3046.054746
DRI13,OUT045,3502.343524
FDG32,OUT018,3474.672201
FDU14,OUT017,3993.915886
FDD28,OUT019,169.419361
NCP41,OUT017,1614.705214
FDS08,OUT049,2861.862629
FDX47,OUT045,2533.542733
FDC53,OUT019,211.3723837
FDQ19,OUT035,3987.447212
FDL14,OUT045,2470.478147
FDM33,OUT019,556.6145769
FDA51,OUT045,1880.191823
FDZ27,OUT018,702.2112747
FDT04,OUT046,693.4709577
DRC13,OUT049,2080.534214
FDR16,OUT027,5569.545898
FDQ03,OUT027,6260.973346
FDE38,OUT035,2763.540009
DRH23,OUT027,1671.792569
FDT11,OUT019,544.07988
FDD09,OUT035,2940.248329
FDR40,OUT045,1346.232978
FDX07,OUT017,3095.030056
FDR07,OUT035,1545.261489
FDA51,OUT017,1895.094749
FDT59,OUT019,571.9913798
FDF20,OUT017,3107.895502
FDR13,OUT045,1907.751506
FDY26,OUT049,3492.947594
FDW04,OUT017,2087.853688
FDK52,OUT017,3804.297039
FDN60,OUT049,2528.710459
FDM09,OUT019,409.9910938
FDP46,OUT049,1442.246145
FDB50,OUT019,226.8422545
NCQ29,OUT049,4030.511312
FDP16,OUT027,6170.552826
FDX33,OUT018,2609.741152
FDP07,OUT010,508.8492766
FDN22,OUT046,3995.911262
FDF39,OUT049,4075.906749
FDS21,OUT017,905.4236832
NCM42,OUT013,1606.45521
FDK50,OUT019,393.7702351
DRF13,OUT027,3835.091698
FDH35,OUT018,2637.311519
FDP60,OUT018,1572.943727
DRJ49,OUT027,3357.637603
NCT42,OUT019,357.1983071
FDE38,OUT049,2760.861453
FDI04,OUT049,3130.143079
NCH54,OUT045,2546.005571
FDT56,OUT049,872.3498883
DRD15,OUT018,3565.07476
FDV58,OUT013,3095.179214
FDP21,OUT049,3098.112358
FDH05,OUT013,3859.571268
FDR10,OUT027,4216.688663
NCP06,OUT045,2418.434391
FDF33,OUT049,1604.41995
DRK37,OUT013,3097.252451
DRH49,OUT045,1364.624781
FDT58,OUT013,2752.912305
FDD41,OUT018,1594.098563
FDP40,OUT018,1665.459077
FDM51,OUT027,2655.257737
FDO45,OUT010,206.7627749
FDW33,OUT010,232.1936776
FDY24,OUT045,846.2547855
FDB10,OUT010,568.1932429
FDM40,OUT035,2098.302441
NCI06,OUT017,2975.497275
FDW12,OUT019,323.2381967
FDX48,OUT027,4027.061957
NCW05,OUT027,2665.30706
FDX27,OUT017,1527.272985
DRM37,OUT045,3127.989311
FDA38,OUT045,3968.236364
FDR36,OUT046,693.1893188
FDZ45,OUT046,3132.131973
FDG05,OUT017,2583.645705
FDK28,OUT013,4041.959254
FDV47,OUT045,1423.084469
FDN21,OUT045,2596.392328
FDP20,OUT027,3338.042076
FDI35,OUT045,3082.560367
DRY23,OUT013,693.7375204
FDA56,OUT017,2077.218567
FDB09,OUT013,2077.218567
NCO26,OUT027,3061.340019
FDQ49,OUT018,2508.840531
FDI52,OUT027,3254.45904
FDZ44,OUT027,3062.120401
FDZ09,OUT018,2641.756337
FDY03,OUT049,1879.757516
NCG42,OUT017,2088.384442
DRI13,OUT027,5651.218987
FDQ32,OUT013,2081.879327
FDW16,OUT035,1462.609847
FDU27,OUT046,702.2112747
FDR28,OUT010,391.1727349
FDQ49,OUT010,350.7929163
FDS37,OUT046,1927.120559
FDW26,OUT018,3388.7812
FDX12,OUT018,3676.192485
NCP06,OUT013,2423.481434
FDW45,OUT010,332.3100318
NCN30,OUT049,1523.827539
FDN24,OUT049,793.9587803
NCL41,OUT027,1095.900643
FDR02,OUT019,273.8639224
FDD09,OUT010,462.6938922
FDS33,OUT010,204.5800572
FDU22,OUT045,2047.534755
FDI53,OUT013,2639.093689
DRH01,OUT049,2861.664788
FDX32,OUT013,2101.64304
NCP30,OUT018,693.1893188
FDB60,OUT045,3109.134106
FDB14,OUT049,1494.917141
NCP02,OUT035,846.9799124
FDJ10,OUT017,2092.180012
FDG34,OUT046,1665.459077
NCB18,OUT017,1440.248566
FDM16,OUT049,1066.343339
FDW25,OUT018,1357.133562
FDB35,OUT010,218.5968266
DRN11,OUT013,2110.012545
FDF41,OUT019,547.4518572
FDH16,OUT045,1444.181382
NCQ50,OUT018,3348.381914
DRH23,OUT018,846.6439485
DRJ37,OUT013,2429.777247
DRJ24,OUT027,5239.213406
FDY16,OUT035,3095.418917
FDQ27,OUT045,1594.586682
FDZ33,OUT045,2418.126382
FDF29,OUT045,2090.340433
FDA08,OUT049,2642.057489
FDG31,OUT046,1019.914817
FDE34,OUT019,443.3896075
NCR30,OUT027,1904.822291
FDV33,OUT035,4050.155613
DRZ24,OUT018,2056.904595
NCL54,OUT035,2860.749913
FDR12,OUT049,2862.170639
NCC54,OUT046,3951.473281
DRN59,OUT013,702.2112747
FDX50,OUT019,264.7282592
FDV31,OUT027,5052.124602
NCA29,OUT027,4786.655991
FDW60,OUT049,2881.886138
FDX08,OUT017,3096.234888
DRD49,OUT013,3924.790737
FDD33,OUT046,3845.973968
FDW35,OUT013,693.4709577
FDJ36,OUT017,1592.220509
FDV51,OUT035,2734.245657
FDW36,OUT046,1604.41995
FDH35,OUT046,2648.939643
NCS30,OUT027,3393.307333
FDN49,OUT017,693.1893188
FDL08,OUT018,3668.984805
FDI09,OUT013,3960.902473
FDP19,OUT018,2087.853688
FDU21,OUT010,83.60435236
NCP41,OUT045,1606.45521
FDY10,OUT013,1796.006346
FDP12,OUT018,693.1893188
NCN26,OUT049,1926.091941
FDK44,OUT013,2859.333044
FDC28,OUT049,1614.169303
FDJ41,OUT027,6148.793239
NCT29,OUT035,2078.344344
NCH42,OUT019,525.6556392
FDU60,OUT018,2741.098144
FDS02,OUT045,3107.871615
FDC51,OUT046,2077.218567
FDU03,OUT013,3094.993166
FDX39,OUT045,3494.357915
NCY05,OUT010,85.19749384
NCL06,OUT027,6245.390071
FDD32,OUT035,1289.809216
NCN41,OUT045,2077.218567
NCX53,OUT049,2097.692734
FDU57,OUT019,351.9486923
FDQ23,OUT046,1592.682035
FDQ52,OUT045,3995.577037
FDC14,OUT045,693.4709577
FDY09,OUT035,2880.773422
FDQ28,OUT045,2491.311737
FDV25,OUT046,3626.374914
FDJ07,OUT035,1927.619432
DRB25,OUT049,1601.101479
FDK52,OUT019,563.7574925
FDY52,OUT027,1823.655565
FDB28,OUT046,3119.241145
FDT36,OUT035,693.1893188
FDV25,OUT017,3719.3481
NCN07,OUT027,3404.294521
FDC57,OUT017,3106.690669
FDQ03,OUT018,3623.792963
FDU23,OUT017,2750.166639
NCX41,OUT035,3505.510217
NCD06,OUT035,702.2112747
FDW08,OUT045,1606.022532
NCU29,OUT017,2414.354785
NCE06,OUT013,2606.780041
FDV52,OUT010,274.5708052
FDB02,OUT017,2879.348798
NCR18,OUT045,693.7375204
FDK16,OUT049,1523.413562
NCQ29,OUT010,599.507503
FDZ01,OUT019,209.0107823
FDW27,OUT035,2527.520078
FDD17,OUT018,3633.700419
FDW39,OUT013,2878.539198
DRH59,OUT045,1043.473435
FDS52,OUT013,1583.647071
FDU40,OUT027,5493.709904
NCF54,OUT013,2859.333044
FDH46,OUT045,1592.220509
NCP14,OUT049,1592.682035
FDH50,OUT049,3098.112358
DRF15,OUT010,338.3093173
FDV27,OUT027,2460.70744
NCJ06,OUT049,2054.108114
FDN02,OUT018,3279.847431
FDQ51,OUT049,702.2112747
FDQ07,OUT017,3720.444975
FDS45,OUT049,1594.586682
NCJ06,OUT045,2075.524095
FDD36,OUT035,1929.632671
FDY25,OUT045,3096.211001
FDU52,OUT046,2470.428134
DRK47,OUT017,3815.30628
NCL30,OUT017,2084.211329
FDN22,OUT035,4004.244135
NCF30,OUT027,3336.906249
FDK03,OUT035,4019.8003
FDT45,OUT017,846.2547855
NCC54,OUT027,6175.463965
FDP08,OUT018,3099.331981
FDU44,OUT046,2640.112843
DRG39,OUT035,786.6700654
FDU32,OUT049,2077.218567
FDY27,OUT049,2913.510393
NCP54,OUT013,2077.218567
NCZ41,OUT049,2082.331658
DRL49,OUT013,2150.91211
FDI05,OUT018,1193.634461
FDY56,OUT045,3809.552829
DRC13,OUT013,2080.963132
NCV29,OUT017,2926.460078
FDR24,OUT049,1458.821476
FDZ34,OUT018,3091.478457
FDP37,OUT035,2082.331658
FDX08,OUT027,5070.839292
FDS57,OUT045,2097.692734
NCG18,OUT049,1592.220509
FDK25,OUT018,2779.70826
FDH53,OUT049,1302.446307
DRI59,OUT018,3478.18956
FDA52,OUT046,2879.174694
FDT20,OUT010,83.11242935
FDE36,OUT019,468.6930753
FDI24,OUT017,2860.361052
FDB28,OUT018,3144.96606
FDV11,OUT017,2880.232988
FDP01,OUT046,2463.609814
FDD34,OUT027,4131.223283
FDJ50,OUT027,1338.846945
FDZ44,OUT013,1949.201793
DRO59,OUT035,1129.767544
DRB48,OUT045,693.1893188
FDR21,OUT018,2851.997384
NCE42,OUT010,603.6553739
FDO23,OUT046,1494.917141
NCE30,OUT018,3344.982251
FDQ22,OUT035,693.1893188
FDY01,OUT045,1924.471686
FDS08,OUT017,2881.472179
FDG28,OUT018,3669.441396
FDQ51,OUT018,702.2112747
FDB05,OUT017,3981.386374
FDO56,OUT049,1929.16594
FDE02,OUT018,1480.725955
FDN45,OUT017,3731.896908
FDS09,OUT013,702.4406796
NCA54,OUT018,2973.890871
FDP09,OUT010,558.0343305
FDC53,OUT045,1572.174087
NCM55,OUT017,3096.234888
FDL09,OUT018,2778.503428
FDA11,OUT019,239.12063
FDA50,OUT045,1523.827539
FDC23,OUT017,2925.335302
FDE22,OUT049,2585.75416
FDD23,OUT046,3096.167712
NCA29,OUT049,2862.567457
FDK38,OUT046,2414.173589
DRC13,OUT046,2077.218567
NCP43,OUT049,2926.83688
FDX28,OUT049,1573.446871
FDF08,OUT049,1459.675758
FDZ33,OUT046,2417.750489
FDD10,OUT049,2910.757492
FDO58,OUT017,2637.628592
FDI50,OUT017,3846.585844
FDO58,OUT045,2653.751737
FDX08,OUT013,2975.481311
NCK17,OUT010,83.79475095
FDF39,OUT035,4080.051298
FDU45,OUT010,263.1287636
NCJ18,OUT018,1931.80079
DRC27,OUT019,561.7771534
DRC25,OUT035,1419.138297
FDU59,OUT035,2597.277922
FDU28,OUT035,3097.451811
NCP30,OUT046,693.4709577
FDB39,OUT018,846.2547855
FDE41,OUT013,1426.258784
DRH11,OUT010,176.2941868
FDA58,OUT045,3912.247968
FDU50,OUT046,1924.471686
FDM34,OUT013,2087.853688
FDM44,OUT027,2655.257737
FDR39,OUT045,3095.006169
FDM25,OUT045,2860.754549
FDQ49,OUT049,2487.44737
DRH25,OUT018,756.4943079
FDM09,OUT027,4249.544473
FDL44,OUT019,405.8112458
NCR42,OUT018,693.1893188
DRL59,OUT046,785.3387129
FDX43,OUT013,2771.751969
DRK47,OUT010,539.5860908
FDU48,OUT018,2090.749032
FDY12,OUT045,705.5620681
NCN43,OUT018,2077.218567
NCM55,OUT018,3088.953495
FDQ21,OUT027,3268.497878
FDX13,OUT035,4013.094209
NCK30,OUT027,6247.999539
FDG20,OUT049,2861.862629
DRG27,OUT017,693.1893188
FDY14,OUT018,3811.724644
FDP59,OUT035,1592.220509
FDU60,OUT017,2785.662262
NCC18,OUT019,412.612439
DRJ39,OUT017,3503.390929
FDS07,OUT049,1881.139317
FDM08,OUT027,5853.200693
FDP51,OUT045,2065.112357
FDU16,OUT035,1346.769148
FDH12,OUT013,1604.41995
DRE48,OUT010,484.6641607
